YEAR,TICKER,COMPANY,SALES,EXPENSES,OPERATING_PROFIT,OPM_PERCENT,OTHER_INCOME,INTEREST,DEPRECIATION,PBT,TAX_PERCENT,NET_PROFIT,EPS,DIVIDEND_PAYOUT_PERCENT,NET_CASH_FLOW,FREE_CASH_FLOW
01-03-2023,JISLJALEQS,Jain Irrigations,5690,564,5126,,1004,469,236,863,,832,13.69,,,
01-03-2024,JISLJALEQS,Jain Irrigations,6084,784,5300,,-43,419,243,79,,43,0.68,,,
01-03-2025,JISLJALEQS,Jain Irrigations,5732,717,5015,,16,433,253,46,,26,0.5,,,
01-03-2026,JISLJALEQS,Jain Irrigations,6324,788,5536,,-24,453,275,36,,7,0.24,,,
01-03-2022,LOTUSDEV,Sri Lotus Developers,88,12,75,,1,0,0,13,,8,,,,
01-03-2023,LOTUSDEV,Sri Lotus Developers,159,21,138,,3,1,1,22,,16,,,,
01-03-2024,LOTUSDEV,Sri Lotus Developers,453,158,295,,5,0,1,162,,120,,,,
01-03-2025,LOTUSDEV,Sri Lotus Developers,548,289,259,,20,0,2,307,,228,5.22,,,
01-03-2026,LOTUSDEV,Sri Lotus Developers,651,268,383,,43,2,2,308,,228,4.93,,,
01-03-2014,MCX,Multi Commodity Exchange,341,146,194,,99,1,34,210,,153,6.01,,,
01-03-2015,MCX,Multi Commodity Exchange,222,88,135,,110,1,26,170,,126,4.93,,,
01-03-2016,MCX,Multi Commodity Exchange,235,75,160,,111,0,25,162,,115,4.5,,,
01-03-2017,MCX,Multi Commodity Exchange,259,80,180,,117,0,19,178,,127,4.96,,,
01-03-2018,MCX,Multi Commodity Exchange,260,76,184,,88,0,17,147,,108,4.25,,,
01-03-2019,MCX,Multi Commodity Exchange,300,94,206,,75,0,15,154,,146,5.73,,,
01-03-2020,MCX,Multi Commodity Exchange,398,178,219,,105,0,18,265,,236,9.27,,,
01-03-2021,MCX,Multi Commodity Exchange,391,185,205,,104,0,22,267,,225,8.83,,,
01-03-2022,MCX,Multi Commodity Exchange,367,161,206,,46,0,23,184,,143,5.63,,,
01-03-2023,MCX,Multi Commodity Exchange,514,145,369,,68,0,22,191,,149,5.84,,,
01-03-2024,MCX,Multi Commodity Exchange,684,63,621,,75,0,36,102,,83,3.26,,,
01-03-2025,MCX,Multi Commodity Exchange,1113,665,447,,98,0,64,699,,560,21.96,,,
01-03-2026,MCX,Multi Commodity Exchange,1704,1137,567,,121,0,81,1177,,937,36.75,,,
01-03-2015,MUTHOOTFIN,Muthoot Finance,4336,1112,1110,,1,2114,84,1029,,672,16.86,,,
01-03-2016,MUTHOOTFIN,Muthoot Finance,4936,1381,1268,,5,2288,59,1327,,818,20.41,,,
01-03-2017,MUTHOOTFIN,Muthoot Finance,5935,2007,1554,,3,2374,52,1959,,1200,30.03,,,
01-03-2018,MUTHOOTFIN,Muthoot Finance,6714,2927,1656,,67,2132,52,2942,,1844,45.74,,,
01-03-2019,MUTHOOTFIN,Muthoot Finance,7594,3305,1747,,6,2543,52,3260,,2103,51.86,,,
01-03-2020,MUTHOOTFIN,Muthoot Finance,9684,4298,2207,,22,3180,59,4260,,3169,78.25,,,
01-03-2021,MUTHOOTFIN,Muthoot Finance,11535,5167,2259,,32,4109,67,5131,,3819,94.83,,,
01-03-2022,MUTHOOTFIN,Muthoot Finance,12186,5428,2490,,52,4268,70,5410,,4031,100.08,,,
01-03-2023,MUTHOOTFIN,Muthoot Finance,11898,4926,2747,,75,4225,78,4923,,3670,89.98,,,
01-03-2024,MUTHOOTFIN,Muthoot Finance,15062,5988,3622,,101,5452,92,5996,,4468,107.71,,,
01-03-2025,MUTHOOTFIN,Muthoot Finance,20214,7272,5481,,110,7461,116,7266,,5352,132.84,,,
01-03-2026,MUTHOOTFIN,Muthoot Finance,27542,11633,5953,,167,9956,148,11653,,8653,217.16,,,
01-03-2023,NTPCGREEN,NTPC Green,170,152,18,,1,51,50,53,,171,0.36,,,
01-03-2024,NTPCGREEN,NTPC Green,1963,1745,217,,77,694,643,486,,343,0.6,,,
01-03-2025,NTPCGREEN,NTPC Green,2210,1920,290,,257,766,758,653,,474,0.56,,,
01-03-2026,NTPCGREEN,NTPC Green,2568,2229,339,,310,806,990,742,,557,0.66,,,
01-03-2020,ORKLAINDIA,Orkla India Ltd,820,138,682,,-3,7,32,96,,69,70.66,,,
01-03-2021,ORKLAINDIA,Orkla India Ltd,967,191,776,,11,5,31,166,,123,10.03,,,
01-03-2022,ORKLAINDIA,Orkla India Ltd,1838,238,1600,,15,29,56,167,,117,9.5,,,
01-03-2023,ORKLAINDIA,Orkla India Ltd,2172,312,1861,,28,27,55,257,,339,27.5,,,
01-03-2024,ORKLAINDIA,Orkla India Ltd,2356,341,2015,,34,7,62,307,,226,16.89,,,
01-03-2025,ORKLAINDIA,Orkla India Ltd,2460,311,2119,,65,6.55,61.73,355.45,,255.69,17.69,,,
01-03-2026,ORKLAINDIA,Orkla India Ltd,2509,399,2151,,41,7,54.1,382,,285.6,20.57,,,
01-03-2014,PCJEWELLER,PC Jeweller,5325,4726,599,11,36,153,12,469,30,356,0.99,-19,300,
01-03-2015,PCJEWELLER,PC Jeweller,6361,5631,730,11,59,227,23,540,30,378,1.06,-19,304,
01-03-2016,PCJEWELLER,PC Jeweller,7301,6543,758,10,50,251,23,534,25,398,1.11,7,13,
01-03-2017,PCJEWELLER,PC Jeweller,8464,7699,765,9,97,286,22,554,24,421,1.18,312,775,
01-03-2018,PCJEWELLER,PC Jeweller,9610,8620,990,10,92,324,21,737,27,536,1.36,-24,328,
01-03-2019,PCJEWELLER,PC Jeweller,8672,8374,298,3,77,354,19,2,70,1,0,-302,"-1,940",
01-03-2020,PCJEWELLER,PC Jeweller,5206,4749,457,9,80,374,37,125,34,83,0.21,-57,74,
01-03-2021,PCJEWELLER,PC Jeweller,2825,2410,415,15,24,396,35,8,-694,62,0.13,30,91,
01-03-2022,PCJEWELLER,PC Jeweller,1605,1696,-91,-6,53,442,28,-508,-23,-391,-0.84,-34,-723,
01-03-2023,PCJEWELLER,PC Jeweller,2472,2216,256,10,163,499,27,-108,88,-203,-0.44,19,97,
01-03-2024,PCJEWELLER,PC Jeweller,604,774,-170,-28,64,505,20,-632,0,-629,-1.35,-37,66,
01-03-2025,PCJEWELLER,PC Jeweller,2244,1848,396,18,126,52,18,453,-28,578,0.91,57,-633,
01-03-2026,PCJEWELLER,PC Jeweller,3125,2473,652,21,196,133,21,713,0,714,0.83,72,-77,
01-03-2014,SBIN,STATE Bank of India,189062,-14614,82198,,37882,121479,1942,21326,,14807,18.99,,,
01-03-2015,SBIN,STATE Bank of India,207974,-21879,96675,,49315,133179,1581,25855,,17832,22.76,,,
01-03-2016,SBIN,STATE Bank of India,220633,-32399,109985,,52828,143047,2252,18177,,13019,15.75,,,
01-03-2017,SBIN,STATE Bank of India,230447,-64334,145666,,68193,149115,2915,945,,-97,0.3,,,
01-03-2018,SBIN,STATE Bank of India,228970,-86697,169065,,77557,146603,3105,-12245,,-3749,-5.11,,,
01-03-2019,SBIN,STATE Bank of India,253322,-68649,166104,,77365,155867,3496,5220,,3351,2.58,,,
01-03-2020,SBIN,STATE Bank of India,269852,-64181,172909,,98159,161124,3662,30317,,21140,22.15,,,
01-03-2021,SBIN,STATE Bank of India,278115,-70715,192821,,107222,156010,3711,32796,,23888,25.11,,,
